headline,web_url,snippet,source,keywords,pub_date,byline,word_count,title
"‘Fighting With My Family’ Review: They Body Slam You, Your Mum and Dad. Lovingly.",https://www.nytimes.com/2019/02/13/movies/fighting-with-my-family-review.html,"Dwayne Johnson helped produce this charming comedy about a family of professional wrestlers, their chops, drops and drama.",The New York Times,"['Movies', 'Fighting with My Family (Movie)', 'Merchant, Stephen', 'Pugh, Florence', 'Johnson, Dwayne (1972- )', 'Headey, Lena', 'Frost, Nick', 'Vaughn, Vince', 'Lowden, Jack (1990- )']",2019-02-13T23:46:10+0000,By Manohla Dargis,759,Fighting With My Family
"‘Sorry Angel’ Review: A Love Affair Two Men Start, Knowing the End",https://www.nytimes.com/2019/02/12/movies/sorry-angel-review.html,"Set in early 1990s Paris, Christophe Honoré’s new film presents us with a middle-aged, H.I.V.-stricken writer falling, wearily, for a bookish 20-something.",The New York Times,"['Movies', 'Sorry Angel (Movie)', 'Honore, Christophe']",2019-02-12T21:46:52+0000,By Glenn Kenny,491,Sorry Angel
"‘Berlin, I Love You’ Review: Many Stories, Not Much Feeling",https://www.nytimes.com/2019/02/07/movies/berlin-i-love-you-review.html,"The once-divided nature of Berlin isn’t given much consideration in this film, part of the Cities of Love series.",The New York Times,"['Movies', 'Berlin, I Love You (Movie)', 'Agron, Dianna', 'Knightley, Keira', 'Luna, Diego', 'Mirren, Helen', 'Rourke, Mickey', 'Wilson, Luke']",2019-02-07T12:00:01+0000,By Glenn Kenny,227,"Berlin, I Love You"
"‘Untogether’ Review: Adrift in Los Angeles, Looking for Love",https://www.nytimes.com/2019/02/07/movies/untogether-review.html,Jemima Kirke and Lola Kirke play damaged siblings in this exasperatingly affected romantic drama from Emma Forrest.,The New York Times,"['Movies', 'Dornan, Jamie', 'Kirke, Jemima', 'Kirke, Lola', 'Untogether (Movie)', 'Forrest, Emma']",2019-02-07T12:00:01+0000,By Jeannette Catsoulis,269,Untogether
‘Cold War’ Review: Love Without Borders,https://www.nytimes.com/2018/12/20/movies/cold-war-review.html,"In post-World War II Poland, a singer and a piano player find each other, fall in love and soon end up on opposite sides of history.",The New York Times,"['Movies', 'Cold War (Movie)', 'Pawlikowski, Pawel', 'Kot, Tomasz', 'Kulesza, Agata', 'Szyc, Borys', 'Kulig, Joanna']",2018-12-20T17:09:56+0000,By Manohla Dargis,981,Cold War
‘If Beale Street Could Talk’ Review: Trusting Love in a World Ruled by Hate,https://www.nytimes.com/2018/12/12/movies/if-beale-street-could-talk-review.html,"The couple in this adaptation of James Baldwin’s novel are loving while black, an existential truth that is turned into a nightmare.",The New York Times,"['Movies', 'If Beale Street Could Talk (Movie)', 'Jenkins, Barry', 'Baldwin, James (1924-87)', 'James, Stephan (1993- )', 'Layne, KiKi', 'Wittrock, Finn']",2018-12-12T21:30:02+0000,By Manohla Dargis,1057,If Beale Street Could Talk
‘Asher’ Review: An Aging Hit Man Finds Love,https://www.nytimes.com/2018/12/06/movies/asher-review.html,Ron Perlman and Famke Janssen star in this film that finds a hired killer dealing with his own mortality.,The New York Times,"['Movies', 'Asher (Movie)', 'Caton-Jones, Michael', 'Perlman, Ron', 'Janssen, Famke']",2018-12-06T12:00:04+0000,By Glenn Kenny,259,Asher
‘The Party’s Just Beginning’ Review: Loss and Love in Inverness,https://www.nytimes.com/2018/12/06/movies/the-partys-just-beginning-review.html,The actress Karen Gillan gets glum to play a depressed young woman in her feature directorial debut.,The New York Times,"['Movies', ""The Party's Just Beginning (Movie)"", 'Pace, Lee', 'Gillan, Karen (1987- )', 'Beard, Matthew (1989- )']",2018-12-06T12:00:01+0000,By Glenn Kenny,264,The Party’s Just Beginning
‘The Great Pretender’ Review: Tedious Love Affairs in Artsy Brooklyn,https://www.nytimes.com/2018/12/06/movies/the-great-pretender-review.html,"In Nathan Silver’s new film, American bros break the hearts of beautiful Frenchwomen. Realism or wishful thinking?",The New York Times,"['Movies', 'The Great Pretender (Movie)', 'Silver, Nathan (Film Director)', 'Garrel, Esther']",2018-12-06T12:00:01+0000,By Glenn Kenny,317,The Great Pretender
‘Sicilian Ghost Story’ Review: Fairy-Tale Love Meets Real-Life Crime,https://www.nytimes.com/2018/11/29/movies/sicilian-ghost-story-review.html,"Flipping from bucolic to brutal with distressing ease, this beautifully realized movie views a Mafia kidnapping through the prism of first love.",The New York Times,"['Movies', 'Sicilian Ghost Story (Movie)', 'Grassadonia, Fabio', 'Piazza, Antonio']",2018-11-29T12:00:06+0000,By Jeannette Catsoulis,258,Sicilian Ghost Story
